epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,378.141,2.05722,2.81517,1.94384,1.53601,0.33176,0.05612,0.06333,0.0349,0.08418,0.04592,0.03637,0.00877,2.41178,3.80761,2.06134,1.42763,0.01,0.01,0.01
111,381.747,2.6545,3.11162,2.01943,1.68563,0.33176,0.05612,0.06333,0.0349,0.08418,0.04592,0.03637,0.00877,2.41178,3.80761,2.06134,1.42763,0.01,0.01,0.01
112,385.824,2.09892,2.79697,1.69435,1.33718,0.45399,0.07214,0.08439,0.04963,0.25616,0.04592,0.06546,0.01715,2.25982,3.99344,1.83342,1.34682,0.01,0.01,0.01
113,389.717,2.03653,2.34951,1.79511,1.35472,0.45399,0.07214,0.08439,0.04963,0.25616,0.04592,0.06546,0.01715,2.25982,3.99344,1.83342,1.34682,0.01,0.01,0.01
114,393.606,1.99964,2.74975,1.65263,1.25782,0.45399,0.07214,0.08439,0.04963,0.25616,0.04592,0.06546,0.01715,2.25982,3.99344,1.83342,1.34682,0.01,0.01,0.01
115,397.172,1.87378,2.53814,1.76048,1.27754,0.45399,0.07214,0.08439,0.04963,0.25616,0.04592,0.06546,0.01715,2.25982,3.99344,1.83342,1.34682,0.01,0.01,0.01
116,400.945,2.10842,3.50943,2.04088,1.60897,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
117,404.689,1.85807,2.32795,1.49232,1.25156,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
118,408.177,1.82391,2.19847,1.59374,1.29867,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
119,412.213,2.10285,2.98937,1.85338,1.38824,0.24677,0.09184,0.08585,0.04964,0.14759,0.08673,0.07006,0.01925,2.21752,3.78779,1.82955,1.39908,0.01,0.01,0.01
120,416.206,2.08382,3.17424,1.84452,1.47046,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
121,420.475,1.87423,3.03702,1.77326,1.35279,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
122,424.207,2.47219,3.80644,2.46668,1.54098,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
123,427.944,1.72386,2.73531,1.45872,1.2102,0.36794,0.09208,0.09473,0.05065,0.20263,0.06122,0.05425,0.01628,2.29836,4.19081,1.76054,1.42087,0.01,0.01,0.01
124,432.021,2.06269,2.92176,1.67412,1.29088,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
125,435.727,2.29704,3.31106,1.83365,1.50119,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
126,439.495,2.19479,3.14109,1.94331,1.50709,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
127,444.02,2.0413,2.81759,1.73967,1.33129,0.43435,0.05102,0.07439,0.04967,0.31438,0.03061,0.0447,0.01107,2.35821,3.93632,1.86994,1.55895,0.01,0.01,0.01
128,448.009,2.00501,2.82935,1.62526,1.29152,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
129,451.966,1.93177,2.67386,1.53639,1.21621,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
130,455.847,2.05701,2.83308,1.62355,1.41563,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
131,459.828,2.36525,3.28812,2.21693,1.70715,0.15016,0.04082,0.05069,0.02619,0.04167,0.12755,0.03851,0.01016,2.62405,3.68283,2.17944,1.5099,0.01,0.01,0.01
132,463.803,2.11797,3.00607,1.64217,1.22769,0.34995,0.07653,0.08914,0.05029,0.20197,0.08163,0.06991,0.02408,2.31669,4.25921,1.82053,1.45943,0.01,0.01,0.01
